Date,New_York_Average,Binghamton_Average,Buffalo_Average
2018-08-27,3.32,3.39,3.23
2018-08-20,3.32,3.39,3.24
2018-08-13,3.33,3.39,3.24
2018-08-06,3.33,3.39,3.24
2018-07-30,3.33,3.39,3.25
2018-07-23,3.33,3.39,3.25
2018-07-16,3.34,3.38,3.25
2018-07-09,3.34,3.36,3.25
2018-07-02,3.34,3.38,3.25
2018-06-25,3.35,3.39,3.25
2018-06-18,3.36,3.39,3.26
2018-06-11,3.37,3.4,3.26
2018-06-04,3.37,3.39,3.24
2018-05-28,3.36,3.41,3.23
2018-05-21,3.33,3.37,3.18
2018-05-14,3.28,3.32,3.14
2018-05-07,3.26,3.29,3.12
2018-04-30,3.24,3.29,3.1
2018-04-23,3.21,3.27,3.09
2018-04-16,3.18,3.25,3.07
2018-04-09,3.17,3.23,3.06
2018-04-02,3.16,3.22,3.05
2018-03-26,3.15,3.19,3.05
2018-03-19,3.15,3.19,3.05
2018-03-12,3.17,3.2,3.06
2018-03-05,3.18,3.22,3.06
2018-02-26,3.19,3.22,3.06
2018-02-19,3.21,3.24,3.08
2018-02-12,3.22,3.26,3.08
2018-02-05,3.21,3.25,3.07
2018-01-29,3.18,3.2,3.03
2018-01-22,3.14,3.14,2.99
2018-01-15,3.09,3.09,2.95
2018-01-08,3.04,3.03,2.9
2018-01-01,2.97,2.96,2.86
2017-12-25,2.95,2.95,2.87
2017-12-18,2.95,2.94,2.86
2017-12-11,2.95,2.95,2.84
2017-12-04,2.94,2.93,2.85
2017-11-27,2.93,2.92,2.83
2017-11-20,2.93,2.92,2.82
2017-11-13,2.9,2.89,2.8
2017-11-06,2.86,2.85,2.78
2017-10-30,2.85,2.84,2.77
2017-10-23,2.85,2.84,2.77
2017-10-16,2.85,2.84,2.76
2017-10-09,2.86,2.86,2.77
2017-10-02,2.86,2.86,2.76
2017-09-25,2.85,2.85,2.75
2017-09-18,2.85,2.85,2.75
2017-09-11,2.84,2.83,2.71
2017-09-04,2.73,2.74,2.6
2017-08-28,2.7,2.7,2.57
2017-08-21,2.7,2.71,2.56
2017-08-14,2.7,2.7,2.54
2017-08-07,2.69,2.69,2.53
2017-07-31,2.66,2.67,2.52
2017-07-24,2.65,2.65,2.52
2017-07-17,2.65,2.65,2.52
2017-07-10,2.65,2.65,2.52
2017-07-03,2.65,2.65,2.52
2017-06-26,2.67,2.67,2.54
2017-06-19,2.68,2.7,2.56
2017-06-12,2.7,2.71,2.57
2017-06-05,2.7,2.7,2.57
2017-05-29,2.7,2.7,2.57
2017-05-22,2.7,2.7,2.57
2017-05-15,2.71,2.7,2.58
2017-05-08,2.72,2.72,2.58
2017-05-01,2.73,2.74,2.59
2017-04-24,2.73,2.74,2.6
